,links
1,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-wednesday-may-15
2,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-15-2019
3,https://www.straitstimes.com/singapore/what-else-other-than-sejarah-melayu-can-you-see-at-the-first-print-exhibition
4,https://www.straitstimes.com/singapore/nus-students-union-plans-to-have-night-patrols-on-campus
5,https://www.straitstimes.com/singapore/water-management-social-enterprise-is-the-first-local-company-to-win-uae-sustainability
6,https://www.straitstimes.com/singapore/194-year-old-masjid-bencoolen-to-undergo-4-million-renovation
7,https://www.straitstimes.com/singapore/ite-student-defies-the-odds-by-scoring-perfect-40-gpa-while-looking-after-younger-siblings
8,https://www.straitstimes.com/singapore/health/monkeypox-case-in-singapore-so-far-none-of-those-exposed-to-virus-have-caught-the
9,https://www.straitstimes.com/singapore/courts-crime/three-alleged-masterminds-behind-grabhitch-payment-fraud-syndicate-to-be
10,https://www.straitstimes.com/singapore/courts-crime/restoration-works-on-former-traffic-police-hq-into-maxwell-chambers-suites
11,https://www.straitstimes.com/singapore/courts-crime/jail-for-woman-who-lied-to-police-claiming-she-had-been-forced-into
12,https://www.straitstimes.com/singapore/courts-crime/29-years-jail-for-father-51-who-sexually-abused-daughter-since-she-was-5-and
13,https://www.straitstimes.com/singapore/generation-grit-teen-cared-for-dementia-stricken-dad-for-10-lonely-years
14,https://www.straitstimes.com/singapore/health/sharp-rise-in-dengue-cases-last-week-0
15,https://www.straitstimes.com/singapore/smu-students-return-home-after-bus-accident-in-vietnam-4-admitted-to-spore-hospitals
16,https://www.straitstimes.com/singapore/transport/new-acquisitions-drive-comfortdelgros-q1-earnings-up-62-to-704-million
17,https://www.straitstimes.com/singapore/everyday-singaporeans-receive-awards-from-police-for-making-a-difference
18,https://www.straitstimes.com/singapore/cookies-colour-and-a-claw-machine-pull-in-crowds-as-sph-charity-carnival-raises-31k
19,https://www.straitstimes.com/singapore/health/centre-to-offer-proton-beam-therapy-for-cancer-by-early-2020
20,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-allegedly-molesting-girl-on-bus-in-yishun
21,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-possession-of-offensive-weapon-along-mountbatten-road
22,https://www.straitstimes.com/singapore/the-big-story-things-to-know-about-whatsapps-security-flaw-and-us-china-trade-war
23,https://www.straitstimes.com/singapore/tang-holdings-donates-largest-private-raffles-memorabilia-collection-to-national-museum
24,https://www.straitstimes.com/singapore/transport/section-of-woodlands-centre-road-to-be-closed-for-overhead-bridge-demolition
25,https://www.straitstimes.com/singapore/rsn-information-fusion-centres-info-sharing-portal-upgraded-on-its-10th-anniversary
26,https://www.straitstimes.com/singapore/courts-crime/duo-charged-over-illegal-loans-to-maids
27,https://www.straitstimes.com/singapore/public-encouraged-to-inject-new-ideas-into-old-buildings-under-ura-sla-reinvention-scheme
28,https://www.straitstimes.com/singapore/health/high-blood-pressure-boosts-risk-of-further-complications-nhg-finds
29,https://www.straitstimes.com/singapore/courts-crime/2-nigerians-charged-over-alleged-roles-in-transnational-internet-love-scams
30,https://www.straitstimes.com/singapore/strong-consensus-needed-from-all-countries-on-common-rules-for-the-seas-ng-eng-hen-0
31,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-tuesday-may-14
32,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-14-2019
33,https://www.straitstimes.com/singapore/courts-crime/sporean-man-and-filipino-woman-arrested-for-alleged-illegal-moneylending-to
34,https://www.straitstimes.com/singapore/5-year-old-has-minor-toe-cut-after-slipper-caught-in-jewel-escalator
35,https://www.straitstimes.com/singapore/two-riders-injured-after-accident-between-car-and-power-assisted-bicycle-in-pasir-ris
36,https://www.straitstimes.com/singapore/courts-crime/two-nigerians-to-be-charged-for-alleged-involvement-in-internet-love-scams
37,https://www.straitstimes.com/singapore/courts-crime/sales-supervisor-53-jailed-125-years-for-sexually-abusing-daughter-over-four
38,https://www.straitstimes.com/singapore/joint-tenancy-contracts-for-muslim-home-owners-recognised-as-religiously-valid
39,https://www.straitstimes.com/singapore/transport/sbs-transits-q1-earnings-up-23-per-cent-on-better-margins-from-bus-contracts
40,https://www.straitstimes.com/singapore/new-1-million-grant-to-address-service-gaps-for-overlooked-communities
41,https://www.straitstimes.com/singapore/the-big-story-co-living-millennials-and-what-do-19-year-olds-want
42,https://www.straitstimes.com/singapore/20-smu-students-injured-in-bus-accident-in-vietnam-during-community-service-project-trip
43,https://www.straitstimes.com/singapore/courts-crime/probation-for-youth-who-committed-indecent-act-on-boy-in-church
44,https://www.straitstimes.com/singapore/expect-heavy-traffic-at-woodlands-tuas-checkpoints-over-vesak-day-weekend
45,https://www.straitstimes.com/singapore/courts-crime/nus-student-taken-to-court-after-allegedly-filming-woman-in-the-shower-on
46,https://www.straitstimes.com/singapore/courts-crime/nus-student-who-allegedly-filmed-female-student-in-hall-bathroom-changed-his
47,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-monday-may-13
48,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-13-2019
49,https://www.straitstimes.com/singapore/courts-crime/man-suspected-of-stealing-cash-cards-valuables-from-vehicles-in-choa-chu-kang
50,https://www.straitstimes.com/singapore/multilateral-maritime-exercise-to-conclude-at-changi-naval-base-on-monday
51,https://www.straitstimes.com/singapore/li-nanxing-cooks-up-a-storm-on-mothers-day-for-town-restaurant-guests-at-the-fullerton
52,https://www.straitstimes.com/singapore/part-2-of-sg-cares-mural-honours-healthcare-education-and-youth-development-pioneers
53,https://www.straitstimes.com/singapore/experience-kallangs-rich-history-in-new-3km-walking-trail-at-singapore-sports-hub
54,https://www.straitstimes.com/singapore/transport/deals-on-sias-non-stop-flights-to-us-six-months-after-launch
55,https://www.straitstimes.com/singapore/is-it-time-to-visit-jewel-changi-airport
56,https://www.straitstimes.com/singapore/residents-looking-out-for-one-another-is-what-makes-singapore-truly-home-tan-chuan-jin
57,https://www.straitstimes.com/singapore/mothers-day-2019-president-halimah-pm-lee-spf-and-others-share-tributes-online
58,https://www.straitstimes.com/singapore/free-2-year-hometeamns-memberships-benefits-for-wives-and-mothers-of-nsmen
