,links
0,https://www.straitstimes.com/singapore/courts-crime/three-alleged-masterminds-behind-grabhitch-payment-fraud-syndicate-to-be
1,https://www.straitstimes.com/singapore/courts-crime/restoration-works-on-former-traffic-police-hq-into-maxwell-chambers-suites
2,https://www.straitstimes.com/singapore/courts-crime/jail-for-woman-who-lied-to-police-claiming-she-had-been-forced-into
3,https://www.straitstimes.com/singapore/courts-crime/29-years-jail-for-father-51-who-sexually-abused-daughter-since-she-was-5-and
4,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-allegedly-molesting-girl-on-bus-in-yishun
5,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-possession-of-offensive-weapon-along-mountbatten-road
6,https://www.straitstimes.com/singapore/courts-crime/duo-charged-over-illegal-loans-to-maids
7,https://www.straitstimes.com/singapore/courts-crime/2-nigerians-charged-over-alleged-roles-in-transnational-internet-love-scams
8,https://www.straitstimes.com/singapore/courts-crime/sporean-man-and-filipino-woman-arrested-for-alleged-illegal-moneylending-to
9,https://www.straitstimes.com/singapore/courts-crime/two-nigerians-to-be-charged-for-alleged-involvement-in-internet-love-scams
10,https://www.straitstimes.com/singapore/courts-crime/sales-supervisor-53-jailed-125-years-for-sexually-abusing-daughter-over-four
11,https://www.straitstimes.com/singapore/courts-crime/probation-for-youth-who-committed-indecent-act-on-boy-in-church
12,https://www.straitstimes.com/singapore/courts-crime/nus-student-taken-to-court-after-allegedly-filming-woman-in-the-shower-on
13,https://www.straitstimes.com/singapore/courts-crime/nus-student-who-allegedly-filmed-female-student-in-hall-bathroom-changed-his
14,https://www.straitstimes.com/singapore/courts-crime/man-suspected-of-stealing-cash-cards-valuables-from-vehicles-in-choa-chu-kang
15,https://www.straitstimes.com/singapore/courts-crime/ah-seng-durian-scandal-3-other-food-sellers-that-ran-afoul-of-the-taxman
16,https://www.straitstimes.com/singapore/courts-crime/84-scammers-money-mules-under-investigation-for-scams-involving-nearly-200k
17,https://www.straitstimes.com/singapore/courts-crime/4-teenagers-among-5-investigated-for-cheating-involving-itunes-transactions
18,https://www.straitstimes.com/singapore/courts-crime/man-arrested-for-allegedly-molesting-10-year-old-boy-in-tampines
19,https://www.straitstimes.com/singapore/courts-crime/death-of-rugby-stalwart-hit-by-stray-tyre-an-unfortunate-traffic-misadventure
20,https://www.straitstimes.com/singapore/courts-crime/more-than-9000-cartons-of-contraband-cigarettes-seized-in-largest-haul-this
21,https://www.straitstimes.com/singapore/courts-crime/mothers-abuse-caused-23-month-old-son-to-suffer-cerebral-palsy
22,https://www.straitstimes.com/singapore/courts-crime/girl-and-her-friends-beat-up-boyfriend-after-finding-indecent-photos
23,https://www.straitstimes.com/singapore/courts-crime/maid-who-stole-5002-found-with-money-hidden-inside-her-body-during-prison
24,https://www.straitstimes.com/singapore/courts-crime/singapore-pr-charged-after-allegedly-defaulting-on-ns-obligations-for-more
