,links
0,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-wednesday-may-15
1,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-15-2019
2,https://www.straitstimes.com/singapore/what-else-other-than-sejarah-melayu-can-you-see-at-the-first-print-exhibition
3,https://www.straitstimes.com/singapore/nus-students-union-plans-to-have-night-patrols-on-campus
4,https://www.straitstimes.com/singapore/water-management-social-enterprise-is-the-first-local-company-to-win-uae-sustainability
5,https://www.straitstimes.com/singapore/194-year-old-masjid-bencoolen-to-undergo-4-million-renovation
6,https://www.straitstimes.com/singapore/ite-student-defies-the-odds-by-scoring-perfect-40-gpa-while-looking-after-younger-siblings
7,https://www.straitstimes.com/singapore/generation-grit-teen-cared-for-dementia-stricken-dad-for-10-lonely-years
8,https://www.straitstimes.com/singapore/smu-students-return-home-after-bus-accident-in-vietnam-4-admitted-to-spore-hospitals
9,https://www.straitstimes.com/singapore/everyday-singaporeans-receive-awards-from-police-for-making-a-difference
10,https://www.straitstimes.com/singapore/cookies-colour-and-a-claw-machine-pull-in-crowds-as-sph-charity-carnival-raises-31k
11,https://www.straitstimes.com/singapore/the-big-story-things-to-know-about-whatsapps-security-flaw-and-us-china-trade-war
12,https://www.straitstimes.com/singapore/tang-holdings-donates-largest-private-raffles-memorabilia-collection-to-national-museum
13,https://www.straitstimes.com/singapore/rsn-information-fusion-centres-info-sharing-portal-upgraded-on-its-10th-anniversary
14,https://www.straitstimes.com/singapore/public-encouraged-to-inject-new-ideas-into-old-buildings-under-ura-sla-reinvention-scheme
15,https://www.straitstimes.com/singapore/strong-consensus-needed-from-all-countries-on-common-rules-for-the-seas-ng-eng-hen-0
16,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-tuesday-may-14
17,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-14-2019
18,https://www.straitstimes.com/singapore/5-year-old-has-minor-toe-cut-after-slipper-caught-in-jewel-escalator
19,https://www.straitstimes.com/singapore/two-riders-injured-after-accident-between-car-and-power-assisted-bicycle-in-pasir-ris
20,https://www.straitstimes.com/singapore/joint-tenancy-contracts-for-muslim-home-owners-recognised-as-religiously-valid
21,https://www.straitstimes.com/singapore/new-1-million-grant-to-address-service-gaps-for-overlooked-communities
22,https://www.straitstimes.com/singapore/the-big-story-co-living-millennials-and-what-do-19-year-olds-want
23,https://www.straitstimes.com/singapore/20-smu-students-injured-in-bus-accident-in-vietnam-during-community-service-project-trip
24,https://www.straitstimes.com/singapore/expect-heavy-traffic-at-woodlands-tuas-checkpoints-over-vesak-day-weekend
25,https://www.straitstimes.com/singapore/top-stories-from-the-straits-times-on-monday-may-13
26,https://www.straitstimes.com/singapore/st-now-news-as-it-happens-may-13-2019
27,https://www.straitstimes.com/singapore/multilateral-maritime-exercise-to-conclude-at-changi-naval-base-on-monday
28,https://www.straitstimes.com/singapore/li-nanxing-cooks-up-a-storm-on-mothers-day-for-town-restaurant-guests-at-the-fullerton
29,https://www.straitstimes.com/singapore/experience-kallangs-rich-history-in-new-3km-walking-trail-at-singapore-sports-hub
30,https://www.straitstimes.com/singapore/is-it-time-to-visit-jewel-changi-airport
