,links
0,https://www.straitstimes.com/singapore/rules-on-cpf-usage-and-hdb-housing-loans-updated-to-ensure-homes-for-life
1,https://www.straitstimes.com/singapore/housing/pearl-bank-apartments-to-be-opened-up-to-instagrammers-one-last-time-capitaland
2,https://www.straitstimes.com/singapore/housing/3-month-minimum-stay-duration-will-continue-to-apply-for-private-accommodation-ura
3,https://www.straitstimes.com/singapore/housing/conserved-bird-habitats-to-make-upcoming-bidadari-park-a-green-oasis-for-residents
4,https://www.straitstimes.com/singapore/housing/st-podcast-top-tips-on-preparing-yourself-to-sell-or-buy-your-hdb-flat
5,https://www.straitstimes.com/singapore/housing/fewer-hdb-resale-flats-sold-in-q1-prices-fall-03
6,https://www.straitstimes.com/singapore/punggol-northshore-tengah-housing-estates-to-trial-turning-rainwater-into-water-for
7,https://www.straitstimes.com/singapore/housing/132-million-in-rebates-to-be-given-to-over-900000-hdb-households
8,https://www.straitstimes.com/singapore/housing/dos-and-donts-when-renovating-your-hdb-flat
9,https://www.straitstimes.com/singapore/singapores-first-assisted-living-pilot-site-for-public-housing-at-bukit-batok-to-launch
10,https://www.straitstimes.com/singapore/housing/fewer-hdb-resale-flats-sold-in-february-no-change-in-resale-prices-srx
11,https://www.straitstimes.com/singapore/housing/hdb-looking-into-relaxing-cpf-usage-rules-for-older-flats-even-if-remaining-lease
12,https://www.straitstimes.com/singapore/housing/parliament-more-families-in-rental-flats-to-get-grants-to-help-them-own-home
13,https://www.straitstimes.com/singapore/housing/hdb-to-cut-bto-balloting-time-from-6-to-3-weeks-bto-projects-to-be-released-6
14,https://www.straitstimes.com/singapore/housing/nine-in-10-older-buyers-of-two-room-flats-opt-for-shorter-leases-0
15,https://www.straitstimes.com/singapore/environment/wild-boar-spotted-again-at-choa-chu-kang-housing-estate
16,https://www.straitstimes.com/singapore/housing/first-new-generation-neighbourhood-centre-opens-in-punggol
17,https://www.straitstimes.com/singapore/housing/hdb-launches-3739-flats-in-first-btorof-exercise-of-the-year
18,https://www.straitstimes.com/singapore/more-than-20000-households-have-benefited-from-proximity-housing-grant
19,https://www.straitstimes.com/singapore/housing/3100-flats-to-be-launched-in-jurong-west-whampoa-sengkang-in-first-bto-exercise-of
20,https://www.straitstimes.com/singapore/housing/no-tanks-hdb-flat-owner-asked-to-remove-glass-fish-tank-installed-on-his-doorstep
21,https://www.straitstimes.com/singapore/housing/construction-demand-in-singapore-strong-set-to-reach-up-to-32-billion-this-year
22,https://www.straitstimes.com/singapore/housing/property-agents-track-records-now-available-online
23,https://www.straitstimes.com/singapore/housing/hdb-resale-flat-prices-down-03-in-december-2018-sales-volume-drops-by-239-srx
24,https://www.straitstimes.com/singapore/housing/hdb-resale-flat-prices-fall-02-in-q4-full-year-2018-prices-dip-09-over-2017
25,https://www.straitstimes.com/singapore/housing/lease-buyback-scheme-extended-to-all-hdb-flats-including-5-room-and-larger-units
26,https://www.straitstimes.com/singapore/housing/maximum-tenancy-period-to-rent-hdb-flat-to-non-malaysians-non-singaporeans-to
27,https://www.straitstimes.com/singapore/housing/about-70-families-placed-on-fresh-start-housing-scheme-since-launch-lawrence-wong
28,https://www.straitstimes.com/singapore/housing/hdb-ties-up-with-data-analytics-and-telco-firms-for-resident-friendly-app-launches
29,https://www.straitstimes.com/singapore/housing/details-of-lease-buyback-scheme-extension-should-be-ready-early-next-year-lawrence
30,https://www.straitstimes.com/singapore/housing/condo-with-a-view
