,links
0,https://www.straitstimes.com/singapore/manpower/over-300-domestic-helpers-from-cambodia-myanmar-and-sri-lanka-celebrate-combined
1,https://www.straitstimes.com/singapore/manpower/skills-training-centre-planned-for-myanmar-women-who-want-to-work-here-as
2,https://www.straitstimes.com/singapore/manpower/workers-party-calls-for-better-support-for-workers-especially-older-pmets
3,https://www.straitstimes.com/singapore/manpower/asean-labour-ministers-discuss-initiative-to-build-capacity-to-manage-future-of
4,https://www.straitstimes.com/singapore/transport/collaboration-and-retraining-of-staff-key-to-tackling-manpower-crunch-in
5,https://www.straitstimes.com/singapore/strategic-investment-in-manpower-needed-to-build-world-class-public-transport-system-khaw
6,https://www.straitstimes.com/singapore/manpower/ntuc-tackles-gender-imbalance-with-new-programme-to-groom-females-for-top-roles
7,https://www.straitstimes.com/singapore/manpower/indian-worker-dies-after-being-struck-by-sheet-pile-at-sengkang-construction-site
8,https://www.straitstimes.com/singapore/manpower/mediation-scheduled-between-construction-workers-and-employer-over-unpaid-wages
9,https://www.straitstimes.com/singapore/manpower-minister-josephine-teo-i-found-courage-to-enter-public-life-because-of-my-mom
10,https://www.straitstimes.com/singapore/manpower/foreign-worker-killed-after-tipper-truck-accident-at-changi-east-worksite
11,https://www.straitstimes.com/singapore/manpower/workplace-fatalities-edge-to-new-low-but-more-non-fatal-injuries-on-the-job-last
12,https://www.straitstimes.com/singapore/manpower/more-help-needed-to-deepen-competencies-of-freelance-coaches-and-instructors
13,https://www.straitstimes.com/singapore/manpower/firms-press-doctors-to-minimise-medical-leave-for-injured-workers-despite-risk-of
14,https://www.straitstimes.com/singapore/manpower/nearly-500-companies-adopt-tripartite-standards-on-contracting-freelancers
15,https://www.straitstimes.com/singapore/manpower/parliament-action-taken-against-2-maid-agencies-for-not-stating-refund-policies
16,https://www.straitstimes.com/singapore/manpower/more-people-in-jobs-here-but-growth-in-real-median-income-for-singaporeans-slows
17,https://www.straitstimes.com/singapore/manpower/hiv-positive-employees-are-protected-from-wrongful-dismissal-no-complaints-thus
18,https://www.straitstimes.com/singapore/manpower/experts-call-on-bosses-to-use-technology-and-strong-company-culture-to-engage
19,https://www.straitstimes.com/singapore/manpower/more-workers-can-opt-for-flexible-work-arrangements-mom-report
20,https://www.straitstimes.com/singapore/manpower/overwork-and-verbal-abuse-are-most-common-grievances-of-domestic-workers-home
21,https://www.straitstimes.com/singapore/manpower/fb-company-behind-penang-culture-restaurants-fined-94500-for-false-salary
22,https://www.straitstimes.com/singapore/manpower/pm-lee-assures-singapore-workers-govt-will-help-them-cope-with-job-changes-and
23,https://www.straitstimes.com/singapore/manpower/companies-should-report-near-misses-to-bring-down-industrial-accident-rate-zaqy
24,https://www.straitstimes.com/singapore/manpower/retirement-age-and-flexible-work-arrangements-discussed-at-forum-on-older-workers
25,https://www.straitstimes.com/singapore/manpower/prolonged-exposure-to-air-pollution-lowers-worker-productivity-nus-study
26,https://www.straitstimes.com/singapore/manpower/employers-reminded-to-make-cpf-contributions-by-jan-14-to-qualify-for-wage-credit
27,https://www.straitstimes.com/singapore/manpower/free-tickets-to-gardens-by-the-bay-attractions-for-over-200000-less-affluent-ntuc
28,https://www.straitstimes.com/singapore/manpower/more-workers-in-distress-helped-by-migrant-workers-centre-this-year
